ticker,text,created_at,sentiment_tag,cleaned_text,vader_compound,vader_sentiment
MMM,$MMM Alert set for round 2,2026-08-22 19:58:02+00:00,Neutre,$MMM Alert set for round 2,0.296,Positive
MMM,"$MMM
Price: $178.96 (+0.49%)
Trend: Bullish
Market Bias (7D): Bullish Bias 📈
Expected Range: ±0.28%
RSI: 54.5 | Momentum: Moderate
Volume: -34.0% vs avg
Volatility: 1.38%
Support: $173.52 | Resistance: $184.90

Data and analytics sourced from Thescanner educational research https://www.thescanner.ai",2026-08-21 23:07:02+00:00,Neutre,$MMM Price: $178.96 (+0.49%) Trend: Bullish Market Bias (7D): Bullish Bias 📈 Expected Range: ±0.28% RSI: 54.5 | Momentum: Moderate Volume: -34.0% vs avg Volatility: 1.38% Support: $173.52 | Resistance: $184.90 Data and analytics sourced from Thescanner educational research,0.2263,Positive
MMM,"$MAR $MMM $MNST $BCS $MRSH Marriott benefits from global travel and hotel demand, 3M benefits from industrial and consumer-product activity, Monster Beverage benefits from beverage consumption, Barclays benefits from banking and capital-markets activity, and Marsh McLennan benefits from insurance brokerage and risk-management demand. I&#39;m watching hotel occupancy, industrial volumes, beverage sales, trading activity, and insurance pricing.",2026-08-20 07:31:58+00:00,Neutre,"$MAR $MMM $MNST $BCS $MRSH Marriott benefits from global travel and hotel demand, 3M benefits from industrial and consumer-product activity, Monster Beverage benefits from beverage consumption, Barclays benefits from banking and capital-markets activity, and Marsh McLennan benefits from insurance brokerage and risk-management demand. I&#39;m watching hotel occupancy, industrial volumes, beverage sales, trading activity, and insurance pricing.",0.875,Positive
MMM,$MMM UGLY,2026-08-19 18:54:41+00:00,Neutre,$MMM UGLY,-0.5106,Negative
MMM,$MMM lost the level. Closed +23%,2026-08-19 15:57:25+00:00,Neutre,$MMM lost the level. Closed +23%,-0.3182,Negative
MMM,$MMM watching 182.65. Big block trade from a few days ago.,2026-08-19 13:51:17+00:00,Neutre,$MMM watching 182.65. Big block trade from a few days ago.,-0.4404,Negative
MMM,$MMM | 3M Enters $4.25BLN Revolving Credit Facility,2026-08-19 12:06:18+00:00,Neutre,$MMM | 3M Enters $4.25BLN Revolving Credit Facility,0.3818,Positive
MMM,$MMM,2026-08-18 18:11:12+00:00,Bullish,$MMM,0.0,Neutral
MMM,$MMM adding some September exposure on this pullback.,2026-08-18 18:02:44+00:00,Bullish,$MMM adding some September exposure on this pullback.,0.0,Neutral
MMM,$MMM let her eat,2026-08-18 13:48:04+00:00,Bullish,$MMM let her eat,0.0,Neutral
MMM,"$MMM Wondering if this is already priced in, &quot;3M knew for more than 50 years that its products could harm humans, Australian government alleges in court documents&quot; https://www.theguardian.com/environment/2026/aug/18/3m-knew-for-more-than-50-years-that-its-products-could-harm-humans-australian-government-alleges-in-court-documents",2026-08-17 20:16:04+00:00,Neutre,"$MMM Wondering if this is already priced in, &quot;3M knew for more than 50 years that its products could harm humans, Australian government alleges in court documents&quot;",-0.5423,Negative
MMM,$MMM wants to eat,2026-08-17 14:05:52+00:00,Bullish,$MMM wants to eat,0.0,Neutral
MMM,"$MMM — sold today, Momentum Alignment flipped to sell. Small loss, nothing dramatic. 
 
Honestly not sure if I pulled the trigger too early here — trend signal said get out, but I keep wondering if I&#39;m exiting too quickly once momentum turns. Too early, or the right call? Curious what others think.",2026-08-13 18:22:54+00:00,Bearish,"$MMM — sold today, Momentum Alignment flipped to sell. Small loss, nothing dramatic. Honestly not sure if I pulled the trigger too early here — trend signal said get out, but I keep wondering if I&#39;m exiting too quickly once momentum turns. Too early, or the right call? Curious what others think.",0.0204,Neutral
