ticker,created_at,body
AAPL,2026-08-25T02:11:59Z,"$SPY $QQQ $NVDA $AMD $AAPL 

It’s disgusting that our society rewards men like this that cheat, deceive and steal money from hard working people.  Wall Street reform!!"
AAPL,2026-08-25T01:57:58Z,"$AAPL Berry&#39;s quoteBurry was less interested in betting against Apple when asked when he might short the stock. &quot;It is like Costco. Once in a blue moon I take my chances. It&#39;s just permacostly,&quot; he wrote."
AAPL,2026-08-25T01:46:37Z,"3. Apple  
$AAPL 
 is reportedly testing DRAM from China’s CXMT and NAND storage from YMTC as Washington weighs whether to allow the suppliers to be used in Apple products sold in China. A Weibo account, Mobile Chip Expert, said the administration may communicate a decision after a reported Trump–Xi meeting in September. Under the potential setup, CXMT would supply DRAM memory while YMTC would supply NAND flash storage modules. The report weighed on memory names, with SanDisk  
$SNDK 
 down 6% and Micron  
$MU 
 down 5%."
AAPL,2026-08-25T01:36:35Z,"Nvidia has told major customers that prices for AI servers using its flagship Vera Rubin and Grace Blackwell chips will rise by more than 15% for systems delivered early next year, driven by surging memory chip costs. 
Server makers serving major data-center operators such as Microsoft, Google and Oracle have reportedly notified customers of the increases. The price hikes highlight the growing bargaining power of Samsung, SK Hynix and Micron, which dominate DRAM production as AI demand continues to outpace supply. 
Nvidia’s AI accelerators rely heavily on DRAM, and the shortage has pushed memory prices sharply higher. Despite a roughly 75% gross margin, Nvidia appears unable to fully absorb the rising costs. The company has also raised prices on some gaming GPUs. 
Major customers including Amazon, Microsoft, Google and Meta are developing their own chips to reduce dependence on Nvidia. 
 $NVDA $MSFT $GOOGL $ORCL  $AAPL"
AAPL,2026-08-25T01:26:03Z,$SPY DONALD TRUMP IS A CON ARTIST $QQQ $IWM $AAPL
AAPL,2026-08-25T01:11:27Z,$AAPL $CAT $LULU $NVDA $PLTR you must be Burry’s fluffer?
AAPL,2026-08-25T01:05:23Z,"$AAPL Averaged up today, let’s see how much money we lose!"
AAPL,2026-08-25T00:50:19Z,"$PLTR buy this story and have it reprinted across WesternCivilization!!!  
$SPY $TSLA $AAPL $MRNA RUN!!!"
AAPL,2026-08-25T00:43:41Z,$AAPL is up when chips are down. Vice versa.
AAPL,2026-08-25T00:28:46Z,"$SPY $QQQ $AAPL $NVDA 
Cheers to a profitable month 🥂

Real traders stand up. ⬆️"
AAPL,2026-08-25T00:21:08Z,@Y5mitty I went back and scrolled your posts on $XOM and $AAPL and $PYPL you haven’t posted one intelligent thought. You seem to be just a professional agitator with zero business acumen. Good luck with your short.
AAPL,2026-08-25T00:19:01Z,$AAPL  yields should start breaking out soon.
AAPL,2026-08-25T00:05:09Z,"$AAPL $AMZN $GOOGL $TSLA 
Massive Trump rally right here. Go long!"
AAPL,2026-08-24T23:54:27Z,$XCN.X $AMD $TSLA $NVDA $AAPL https://x.com/Onyx
AAPL,2026-08-24T23:36:43Z,$AAPL
AAPL,2026-08-24T22:51:04Z,"$META $SPY $NVDA $AAPL 
*Meta Platforms  plans to launch a consumer version of its OpenClaw AI agent, code-named “Hatch,” as early as the next several weeks, according to internal documents. The new consumer tool is based on Meta’s OpenClaw agent architecture.
Next model target: is targeting October for the release of its next AI model, internally named “Watermelon.”
Product roadmap: The planned releases reflect Meta’saccelerating push into consumer-facing AI agents and foundation models “"
AAPL,2026-08-24T22:38:06Z,$AAPL   I don’t think zBurry is right.  Apple shares. Ould reach $400.00 by year end.  Earnings could be very strong.  Burry has no idea what earnings will be.  Apple  is a great company.  Good to excellent management.  Products are in demand.  I just purchased two apple watches for my wife and me.  Most seniors want them for safety and health info.  I paid $525.00 each and the store was packed.  Burry would not know this.  Go Apple.
AAPL,2026-08-24T22:21:55Z,"$AAPL Doesn&#39;t have the memory for the CPU they already paid for.  LOL   They are panic buying and begging memory makers for anything they can get.  LOL   OMFG  
 
My real 1y price target is 221.77 but 222.22 looks better."
AAPL,2026-08-24T21:58:15Z,$NFLX Letting other streamers into the app? WTF? $AAPL $PSKY $AMZN $DIS
AAPL,2026-08-24T21:40:19Z,"think about how ridiculous a 5 trillions market can move nowadays, like a penny stock. Remember when $AAPL  first hit 1 trillion, back then you wouldn&#39;t expect more than a 2 to 5 % move after earnings. This current market is broken, wouldn&#39;t be surprised to see trillions chopped off down the road from a bad earnings"
AAPL,2026-08-24T21:29:00Z,$GOOG $AAPL $DELL
AAPL,2026-08-24T21:27:03Z,$AAPL I bought a put for 310 tmrw but changed my mind after technical analysis . I think this might pop tomorrow or wed
AAPL,2026-08-24T21:21:11Z,$AAPL in the timeout zone till next er
AAPL,2026-08-24T20:44:24Z,$AAPL memory/chips go up a ton - we go down a ton. Memory/chips go down a ton and we’re  flat.   Cmon WTF let’s go already
AAPL,2026-08-24T20:23:42Z,$AAPL well
