ticker,created_at,body,cleaned_body,vader_compound,date
AAPL,2026-08-25T02:11:59Z,"$SPY $QQQ $NVDA $AMD $AAPL 

It’s disgusting that our society rewards men like this that cheat, deceive and steal money from hard working people.  Wall Street reform!!","It’s disgusting that our society rewards men like this that cheat, deceive and steal money from hard working people. Wall Street reform!!",-0.8264,2026-08-25
AAPL,2026-08-25T01:57:58Z,"$AAPL Berry&#39;s quoteBurry was less interested in betting against Apple when asked when he might short the stock. &quot;It is like Costco. Once in a blue moon I take my chances. It&#39;s just permacostly,&quot; he wrote.","Berry&#39;s quoteBurry was less interested in betting against Apple when asked when he might short the stock. &quot;It is like Costco. Once in a blue moon I take my chances. It&#39;s just permacostly,&quot; he wrote.",0.6915,2026-08-25
AAPL,2026-08-25T01:46:37Z,"3. Apple  
$AAPL 
 is reportedly testing DRAM from China’s CXMT and NAND storage from YMTC as Washington weighs whether to allow the suppliers to be used in Apple products sold in China. A Weibo account, Mobile Chip Expert, said the administration may communicate a decision after a reported Trump–Xi meeting in September. Under the potential setup, CXMT would supply DRAM memory while YMTC would supply NAND flash storage modules. The report weighed on memory names, with SanDisk  
$SNDK 
 down 6% and Micron  
$MU 
 down 5%.","3. Apple is reportedly testing DRAM from China’s CXMT and NAND storage from YMTC as Washington weighs whether to allow the suppliers to be used in Apple products sold in China. A Weibo account, Mobile Chip Expert, said the administration may communicate a decision after a reported Trump–Xi meeting in September. Under the potential setup, CXMT would supply DRAM memory while YMTC would supply NAND flash storage modules. The report weighed on memory names, with SanDisk down 6% and Micron down 5%.",0.2263,2026-08-25
AAPL,2026-08-25T01:36:35Z,"Nvidia has told major customers that prices for AI servers using its flagship Vera Rubin and Grace Blackwell chips will rise by more than 15% for systems delivered early next year, driven by surging memory chip costs. 
Server makers serving major data-center operators such as Microsoft, Google and Oracle have reportedly notified customers of the increases. The price hikes highlight the growing bargaining power of Samsung, SK Hynix and Micron, which dominate DRAM production as AI demand continues to outpace supply. 
Nvidia’s AI accelerators rely heavily on DRAM, and the shortage has pushed memory prices sharply higher. Despite a roughly 75% gross margin, Nvidia appears unable to fully absorb the rising costs. The company has also raised prices on some gaming GPUs. 
Major customers including Amazon, Microsoft, Google and Meta are developing their own chips to reduce dependence on Nvidia. 
 $NVDA $MSFT $GOOGL $ORCL  $AAPL","Nvidia has told major customers that prices for AI servers using its flagship Vera Rubin and Grace Blackwell chips will rise by more than 15% for systems delivered early next year, driven by surging memory chip costs. Server makers serving major data-center operators such as Microsoft, Google and Oracle have reportedly notified customers of the increases. The price hikes highlight the growing bargaining power of Samsung, SK Hynix and Micron, which dominate DRAM production as AI demand continues to outpace supply. Nvidia’s AI accelerators rely heavily on DRAM, and the shortage has pushed memory prices sharply higher. Despite a roughly 75% gross margin, Nvidia appears unable to fully absorb the rising costs. The company has also raised prices on some gaming GPUs. Major customers including Amazon, Microsoft, Google and Meta are developing their own chips to reduce dependence on Nvidia.",0.7618,2026-08-25
AAPL,2026-08-25T01:26:03Z,$SPY DONALD TRUMP IS A CON ARTIST $QQQ $IWM $AAPL,DONALD TRUMP IS A CON ARTIST,0.0,2026-08-25
AAPL,2026-08-25T01:11:27Z,$AAPL $CAT $LULU $NVDA $PLTR you must be Burry’s fluffer?,you must be Burry’s fluffer?,0.0,2026-08-25
AAPL,2026-08-25T01:05:23Z,"$AAPL Averaged up today, let’s see how much money we lose!","Averaged up today, let’s see how much money we lose!",-0.4574,2026-08-25
AAPL,2026-08-25T00:50:19Z,"$PLTR buy this story and have it reprinted across WesternCivilization!!!  
$SPY $TSLA $AAPL $MRNA RUN!!!",buy this story and have it reprinted across WesternCivilization!!! RUN!!!,0.0,2026-08-25
AAPL,2026-08-25T00:43:41Z,$AAPL is up when chips are down. Vice versa.,is up when chips are down. Vice versa.,0.0,2026-08-25
AAPL,2026-08-25T00:28:46Z,"$SPY $QQQ $AAPL $NVDA 
Cheers to a profitable month 🥂

Real traders stand up. ⬆️",Cheers to a profitable month 🥂 Real traders stand up. ⬆️,0.7184,2026-08-25
AAPL,2026-08-25T00:21:08Z,@Y5mitty I went back and scrolled your posts on $XOM and $AAPL and $PYPL you haven’t posted one intelligent thought. You seem to be just a professional agitator with zero business acumen. Good luck with your short.,@Y5mitty I went back and scrolled your posts on and and you haven’t posted one intelligent thought. You seem to be just a professional agitator with zero business acumen. Good luck with your short.,0.7579,2026-08-25
AAPL,2026-08-25T00:19:01Z,$AAPL  yields should start breaking out soon.,yields should start breaking out soon.,0.0,2026-08-25
AAPL,2026-08-25T00:05:09Z,"$AAPL $AMZN $GOOGL $TSLA 
Massive Trump rally right here. Go long!",Massive Trump rally right here. Go long!,0.0,2026-08-25
AAPL,2026-08-24T23:54:27Z,$XCN.X $AMD $TSLA $NVDA $AAPL https://x.com/Onyx,.X,0.0,2026-08-24
AAPL,2026-08-24T23:36:43Z,$AAPL,,0.0,2026-08-24
