ticker,text,created_at,sentiment_tag
MMM,$MMM Alert set for round 2,2026-08-22T19:58:02Z,Neutre
MMM,"$MMM
Price: $178.96 (+0.49%)
Trend: Bullish
Market Bias (7D): Bullish Bias 📈
Expected Range: ±0.28%
RSI: 54.5 | Momentum: Moderate
Volume: -34.0% vs avg
Volatility: 1.38%
Support: $173.52 | Resistance: $184.90

Data and analytics sourced from Thescanner educational research https://www.thescanner.ai",2026-08-21T23:07:02Z,Neutre
MMM,"$MAR $MMM $MNST $BCS $MRSH Marriott benefits from global travel and hotel demand, 3M benefits from industrial and consumer-product activity, Monster Beverage benefits from beverage consumption, Barclays benefits from banking and capital-markets activity, and Marsh McLennan benefits from insurance brokerage and risk-management demand. I&#39;m watching hotel occupancy, industrial volumes, beverage sales, trading activity, and insurance pricing.",2026-08-20T07:31:58Z,Neutre
MMM,$MMM UGLY,2026-08-19T18:54:41Z,Neutre
MMM,$MMM lost the level. Closed +23%,2026-08-19T15:57:25Z,Neutre
MMM,$MMM watching 182.65. Big block trade from a few days ago.,2026-08-19T13:51:17Z,Neutre
MMM,$MMM | 3M Enters $4.25BLN Revolving Credit Facility,2026-08-19T12:06:18Z,Neutre
MMM,$MMM,2026-08-18T18:11:12Z,Bullish
MMM,$MMM adding some September exposure on this pullback.,2026-08-18T18:02:44Z,Bullish
MMM,$MMM let her eat,2026-08-18T13:48:04Z,Bullish
MMM,"$MMM Wondering if this is already priced in, &quot;3M knew for more than 50 years that its products could harm humans, Australian government alleges in court documents&quot; https://www.theguardian.com/environment/2026/aug/18/3m-knew-for-more-than-50-years-that-its-products-could-harm-humans-australian-government-alleges-in-court-documents",2026-08-17T20:16:04Z,Neutre
MMM,$MMM wants to eat,2026-08-17T14:05:52Z,Bullish
MMM,"$MMM — sold today, Momentum Alignment flipped to sell. Small loss, nothing dramatic. 
 
Honestly not sure if I pulled the trigger too early here — trend signal said get out, but I keep wondering if I&#39;m exiting too quickly once momentum turns. Too early, or the right call? Curious what others think.",2026-08-13T18:22:54Z,Bearish
MMM,"Wall St is expecting 2.39 EPS for $MMM Q3 [Reporting 10/27 BMO]
http://www.estimize.com/intro/mmm?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-12T13:51:21Z,Neutre
MMM,"How Every Dow Jones Stock Has Performed in 2026 📊 
（Part 3） 
More of the Dow’s winners so far this year: 
$NVDA +20.1% 🟢 
$AMZN +18.9% 🟢 
$GS +18.3% 🟢 
$AAPL +15.3% 🟢 
$MMM +14.2% 🟢 
 
What stands out to me is the breadth here.  
Tech, financials and industrials are all contributing, which is usually more interesting than a rally carried by just one corner of the market. 
 
I’m watching the next group for signs of where the strongest momentum is moving. 
 
The next market update is coming.  
Turn on notifications if you want to follow the moves in real time.",2026-08-09T15:32:05Z,Neutre
MMM,"5 Trade Ideas for Monday: Alcoa, Adobe, Corning, LPL and 3M https://dragonflycap.com/5-trade-ideas-for-monday-alcoa-adobe-corning-lpl-and-3m/ $AA $ADBE $GLW $LPLA $MMM",2026-08-09T14:48:44Z,Neutre
MMM,$MMM it’s looking like a near term pullback in $MMM 📉,2026-08-06T10:34:00Z,Neutre
MMM,"Notable Options Flow Alert  
 
Large ask-side call activity spotted: 
 
$NFLX 
- 80C 11/20 Exp 
- ~$6M premium @ 4.19 avg 
 
$FCX 
- 85C 11/20 Exp 
- ~$1.4M premium @ 2.56 avg 
 
$MMM 
- 190C 9/18 Exp 
-~$2.29M premium @ 2.96 avg 
 
$CRWV 
- 110C 8/14 Exp 
- ~$1M premium @ 3.21 avg 
 
$MRK 
- 145C 9/18 Exp 
- ~$930K premium @ 0.76 avg 
 
Big money continues positioning in select names. Keeping these unusual flows on watch for potential momentum moves.",2026-08-05T15:45:32Z,Neutre
MMM,"$MMM $JCI $EQNR $UPS $MNST 3M focuses on industrial innovation, Johnson Controls benefits from smart building demand, Equinor balances oil and renewables, UPS remains a logistics leader, and Monster Beverage continues expanding globally.",2026-08-05T06:41:49Z,Neutre
MMM,$MMM Nice technical pullback after good ER. Big C&amp;H forming looking back at the 5 yr.,2026-07-31T18:37:05Z,Neutre
MMM,$MMM 185,2026-07-30T16:33:21Z,Bullish
MMM,"$MMM &amp; $NOC Earning Play Trade Setup 
 
Watch the video to learn how to trade this repeatable pattern 🎯 
 
https://x.com/TENETTRADEGROUP/status/2082617291989189116?s=20",2026-07-30T00:02:31Z,Neutre
MMM,$MMM bought up,2026-07-29T13:48:55Z,Neutre
MMM,"Wall St is expecting 2.38 EPS for $MMM Q3 [Reporting 10/27 BMO]
http://www.estimize.com/intro/mmm?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-07-29T11:09:23Z,Neutre
MMM,"$MMM
Share Price: $182.46

Contract Selected: Aug 21, 2026 $180 Calls

Buy Zone: $4.63 – $5.72
Target Zone: $7.63 – $9.32
Potential Upside: 56% ROI

Time to Expiration: 23 Days | Updates via https://fxcapta.com/stockinfo/",2026-07-29T05:17:06Z,Neutre
MMM,$MMM pull back levels --,2026-07-29T00:08:01Z,Neutre
MMM,$MMM excellent! 😄,2026-07-28T16:09:43Z,Neutre
MMM,$HNGE $OSCR $MMM and $GM feels like a balanced portfolio to me.,2026-07-28T16:03:09Z,Neutre
MMM,$MMM new market leader,2026-07-28T15:54:54Z,Bullish
MMM,$MMM J.P.Morgan raises target price to $205 from $180,2026-07-28T14:57:27Z,Neutre
AOS,"Wall St is expecting 0.90 EPS for $AOS Q3 [Reporting 10/22 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-24T13:15:23Z,Neutre
AOS,@topstockalerts $AOS,2026-08-19T17:23:39Z,Neutre
AOS,$AOS give us that 72 back i saw 8n the pre market!!,2026-08-11T13:38:13Z,Bullish
AOS,$AOS lemme see 65 today ✔️,2026-08-06T13:12:47Z,Bullish
AOS,$AOS undervalued?,2026-08-01T15:08:35Z,Bullish
AOS,$AOS give us good forward guidance in china kevin! Thanks,2026-07-30T14:07:52Z,Bullish
AOS,"$AOS Q2 &#39;26 Earnings Results &amp; Recap

• Reported GAAP EPS of $0.91 down -14.95% YoY
• Reported revenue of $1B down -0.69% YoY
• A. O. Smith Corporation updated its 2026 full-year outlook to sales growth of 2% to 3%, diluted EPS of $3.60 to $3.75, and adjusted EPS of $3.70 to $3.85 per share.",2026-07-30T11:04:43Z,Neutre
AOS,$AOS strength 💪 in turbulence,2026-07-23T13:49:19Z,Bullish
AOS,"$AOS $SPYM $O  
 
Small adds to the mix 
 
Nothing fancy",2026-07-17T19:20:11Z,Neutre
AOS,$AOS 63 close today,2026-07-07T14:31:16Z,Neutre
AOS,"$AOS  
A.O. Smith (AOS) Stock Analysis 
AOS has paid a dividend every year since 1940 and increased its dividend for 33 consecutive years. Its focus on energy-efficient and water-saving technologies aligns with global trends toward sustainability, offering long-term growth potential. For investors seeking a stable industrial company with defensive characteristics and a commitment to capital returns, AOS may be a compelling choice. 
Is the stock price a buy, sell or hold? 
 
What is the Intrinsic Value of A.O. Smith (AOS)? 
https://dividendvaluebuilder.com/ao-smith-aos-dividend-stock-analysis/",2026-07-06T18:19:05Z,Neutre
AOS,"Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-07-02T22:06:37Z,Neutre
AOS,$AOS attractive value?,2026-06-26T20:58:13Z,Bullish
AOS,$AOS this is acting like a hedge on the ai market,2026-06-25T13:11:24Z,Bullish
AOS,"Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-06-24T10:06:23Z,Neutre
AOS,$AOS - looks like a market reversal is approaching. Adding more here for safe harbor for what appears to be undervalued as is. Will add more if there is a dip. Always nice having dry powder for days like this and for what’s upcoming.,2026-06-23T06:51:01Z,Bullish
AOS,$AOS cheap seats selling out boys!,2026-06-16T14:08:48Z,Bullish
AOS,Sold $AOS $177 dollar profit.,2026-06-15T13:50:12Z,Bullish
AOS,$AOS  Bullish Chart Pattern (Double Bottom),2026-06-10T12:54:29Z,Bullish
AOS,In $AOS 58.52 83 making turn around back up way undervalued.,2026-06-09T14:05:16Z,Bullish
AOS,$AOS solid business?,2026-06-06T01:54:23Z,Bullish
AOS,"$AOS holding up nice, compared to the market this morning",2026-06-05T14:04:10Z,Bullish
AOS,$AOS i have buys scattered below 57,2026-05-29T14:10:54Z,Bearish
AOS,"Is $AOS a value trap at current levels? 🛠️ The water heating business is a durable moat, but the residential housing slowdown is a persistent headwind. We are watching for the company to prove its pricing power can offset volume declines. Until the technical trend flips, the &quot;premium&quot; valuation remains at risk of further compression. 💎 
 
🐂 Bulls: Look for a base formation around 58.00 before even considering a long setup 
🐻 Bears: The trend remains downward; keep watching for lower lows as housing data cools 
 
📊 Lean BEARISH. 
#AOS #Construction #StockMarket #hovdid",2026-05-23T18:31:26Z,Neutre
AOS,$AOS double bags?,2026-05-22T02:07:31Z,Bullish
AOS,$AOS one of the few stocks I’m seeing in the market that’s on sale. I’m about to take a position!,2026-05-20T15:12:01Z,Neutre
AOS,$AOS Chinese real-estate stock $hkex rated a strong buy! Bullish for aos,2026-05-19T14:47:40Z,Neutre
AOS,"Wall St is expecting 0.98 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-05-14T22:23:50Z,Neutre
AOS,$AOS trump and Xi said &quot; lets open up the china economy&quot;,2026-05-14T15:43:11Z,Bullish
AOS,$AOS wheres the damn bottom?,2026-05-13T14:41:01Z,Neutre
ABT,"$ABT
Price: $116.64 (+2.19%)
Trend: Bearish
Market Bias (7D): Bearish Bias 📉
Expected Range: ±0.73%
RSI: 80.7 | Momentum: Moderate
Volume: +15.8% vs avg
Volatility: 1.27%
Support: $102.89 | Resistance: $116.66

Data and analytics sourced from Thescanner educational research https://www.thescanner.ai",2026-08-22T01:49:03Z,Neutre
ABT,$ABT $XLV $SPY,2026-08-21T19:30:28Z,Neutre
ABT,"$ABT 
March 31st - Abbott and other investors fund $575 million in WHOOP at $10.1B valuation 

August 18th - WHOOP partners with Grail, adding Galleri screening test for their members

🤔",2026-08-21T14:52:57Z,Neutre
ABT,$ABT settlement is great news. It’s been an overhang for the last 5 years…,2026-08-21T12:42:03Z,Bullish
ABT,$ABT No pullback? I need to cover my short calls. 😠,2026-08-21T04:25:13Z,Bullish
ABT,"Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO]
http://www.estimize.com/intro/abt?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-20T14:18:14Z,Neutre
ABT,"$TTE $ABT $TD $TMUS $PEP TotalEnergies remains leveraged to global energy markets, Abbott benefits from healthcare and diagnostics demand, TD Bank benefits from financial activity, T-Mobile benefits from wireless subscriber growth, and PepsiCo benefits from resilient consumer demand. I&#39;m watching energy prices, medical-device demand, credit conditions, subscriber growth, and volumes.",2026-08-20T07:29:12Z,Neutre
ABT,"Abbott Laboratories has agreed to settle its appeal of a $495 million verdict involving its specialized formula for premature infants, according to court filings in Missouri. The settlement terms were not disclosed. 
In 2024, a St. Louis jury found that Abbott’s infant formula contributed to an Illinois girl developing necrotizing enterocolitis (NEC), a serious intestinal disease primarily affecting premature newborns. Abbott had challenged the verdict before the Missouri Supreme Court after a state appeals court upheld it in May. 
About 1,000 similar lawsuits have been filed against Abbott, which makes Similac, and Mead Johnson, a Reckitt unit that produces Enfamil. More than 800 cases are consolidated in federal court in Illinois, with additional cases pending in Illinois, Missouri and Pennsylvania. 
NEC causes intestinal tissue death and has an estimated mortality rate above 20%.  
$ABT",2026-08-19T20:48:24Z,Neutre
ABT,$ABT nice chart,2026-08-18T20:24:33Z,Bullish
ABT,"$ABT happy belated dividend day to all (from yesterday...) - going to keep reinvesting mine &amp; let it continue to add more shares &amp; compound, as we grind our way to 160+ in the coming years 🥂",2026-08-18T15:00:11Z,Bullish
ABT,"$ABT Abbott Laboratories (NYSE: ABT) is gaining attention with FreeStyle Libre, diagnostics, nutrition and cancer screening exposure. Here’s why ABT stock could have more room to run. https://biotechhealthx.com/biotech-news/what-makes-abbott-laboratories-abt-a-smart-buy-and-hold-investment/",2026-08-15T17:34:00Z,Neutre
ABT,$ABT That was it. Easy one,2026-08-14T06:45:13Z,Neutre
ABT,$ABT $DXCM $PODD $SENS $TNDM,2026-08-14T01:25:29Z,Neutre
ABT,$SENS $DXCM $ABT $TNDM $PODD https://lnkd.in/p/gUqQAkEB,2026-08-14T01:13:35Z,Neutre
ABT,"Jim Cramer&#39;s top 10 things to watch in the stock market Thursday
$abt

A lot of love for Abbott. Wolfe Research upgraded the stock to buy from hold, pointing to organic growth improvements and a potential re-rating of shares. Citi raised its price target to $125 from $112. Analysts are more upbeat on medtech after earnings. 2027 estimates for the group seem to be at more reasonable levels. We thankfully exited Abbott last fall, avoiding what had been a rough 2026. Johnson &amp; Johnson gives us medtech exposure now. Need it lower before we buy any more. https://www.cnbc.com/2026/08/13/jim-cramers-top-10-things-to-watch-in-the-stock-market-thursday.html?__source=iosappshare%7Ccom.stocktwits.StockTwits.STShareExtension",2026-08-14T00:21:37Z,Neutre
ABT,$ABT pretty sure dividend payments are tomorrow,2026-08-13T17:37:36Z,Neutre
ABT,$ABT Come down to 105 so I can close my hedge.,2026-08-13T17:37:22Z,Neutre
ABT,"$ABT this thing has traded sideways and consolidated for 5 years straight, despite beating guidance multiple times and revenue and profit growth. Will be trading at $200 as soon as Exact sciences dilution falls off in early 2027.",2026-08-13T14:44:44Z,Bullish
ABT,"$ABT higher highs &amp; higher lows.   $120+ is in play for us in the coming weeks, &amp; we can&#39;t discount the possibility of $130+ by year-end, pending the outcome with the next round of earnings that will be reported in November.  🥂",2026-08-13T14:42:54Z,Bullish
ABT,"Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO]
http://www.estimize.com/intro/abt?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-13T13:48:26Z,Neutre
ABT,"Thursday’s biggest analyst calls:

Citi reiterates SpaceX as buy

Bank of America reiterates MongoDB as buy

Wolfe upgrades AbbVie to outperform from peer perform

Wolfe upgrades Abbott Labs to outperform from peer perform

JPMorgan resumes Salesforce at overweight

$SPX $MDB $ABBV $ABT $CRM",2026-08-13T13:09:43Z,Neutre
ABT,"$SENS Part 1: An interesting perspective from a diabetes industry veteran!

I recently exchanged views with David Kliff, who has followed the diabetes industry for more than 30 years.

Despite the encouraging Q2 numbers from Senseonics, he remains convinced that $SENS will never become a serious threat to $DXCM or $ABT.

Why? 👇",2026-08-12T16:53:32Z,Neutre
ABT,"Abbott Laboratories $ABT (8h) 
 
Bullish Flow: Direct opening sweeps are repeatedly hitting October $110 Calls (2,764 OI), aggressively absorbing ask liquidity as spot price trends higher near $108.80. Institutional buyers are treating the post-earnings breakout as  prime accumulation vehicle  gross margins expand 100 bps to 58% and $2.1B in quarterly capital returnconfirms elite balance sheet execution. 🐂 💧 
 
Bull Key Level: $114.80 (Bull confirmation to clear primary upper wick friction and unlock explosive trend expansion) 🐂 🔥 
 
Bear Key Level: $93.50 (Absolute structural breakdown defense level and lower volume shelf) 🐻 ⚠️ 
 
Targets: $122.00 / $130.00 💰 🍺 
 
Why: Price action has cleared its primary 8-hour moving average ribbon and turned sharply higher with expanding green volume bars. The RSI indicator is holding firmly above 60 out of oversold territory, signaling buyers maintain complete structural control over the baseline. 
 
#abt |  #hovdid",2026-08-11T23:40:51Z,Neutre
ABT,"$MS $PM $GS $ABT $BX .
..",2026-08-11T15:09:21Z,Neutre
